1,"eplusout"

"Date/Time","[1] System Node Setpoint Temperature (C)"
,"AIR LOOP SUPPLY SIDE OUTLET 1"
"2002/6/2 2:50","20.5"
"2002/6/2 3:00","20.5"
"2002/6/2 3:10","20.5"
"2002/6/2 3:20","20.5"
"2002/6/2 3:30","20.5"
"2002/6/2 3:40","20.5"
"2002/6/2 3:50","20.5"
"2002/6/2 4:00","20.5"
"2002/6/2 4:10","20.5"
"2002/6/2 4:20","20.5"
"2002/6/2 4:30","20.5"
"2002/6/2 4:40","20.5"
"2002/6/2 4:50","20.5"
"2002/6/2 5:00","20.5"
"2002/6/2 5:10","20.5"
"2002/6/2 5:20","20.5"
"2002/6/2 5:30","20.5"
"2002/6/2 5:40","20.5"
"2002/6/2 5:50","20.5"
"2002/6/2 6:00","20.5"
"2002/6/2 6:10","20.5"
"2002/6/2 6:20","20.5"
"2002/6/2 6:30","20.5"
"2002/6/2 6:40","20.5"
"2002/6/2 6:50","20.5"
"2002/6/2 7:00","20.5"
"2002/6/2 7:10","20.5"
"2002/6/2 7:20","20.5"
"2002/6/2 7:30","20.5"
"2002/6/2 7:40","20.5"
"2002/6/2 7:50","20.5"
"2002/6/2 8:00","20.5"
"2002/6/2 8:10","20.5"
"2002/6/2 8:20","20.5"
"2002/6/2 8:30","20.5"
"2002/6/2 8:40","20.5"
"2002/6/2 8:50","20.5"
"2002/6/2 9:00","20.5"
"2002/6/2 9:10","20.5"
"2002/6/2 9:20","20.5"
"2002/6/2 9:30","20.5"
"2002/6/2 9:40","20.5"
"2002/6/2 9:50","20.5"
"2002/6/2 10:00","20.5"
"2002/6/2 10:10","20.5"
"2002/6/2 10:20","20.5"
"2002/6/2 10:30","20.5"
"2002/6/2 10:40","20.5"
"2002/6/2 10:50","20.5"
"2002/6/2 11:00","20.5"
"2002/6/2 11:10","20.5"
"2002/6/2 11:20","20.5"
"2002/6/2 11:30","20.5"
"2002/6/2 11:40","20.5"
"2002/6/2 11:50","20.5"
"2002/6/2 12:00","16.5"
"2002/6/2 12:10","20.5"
"2002/6/2 12:20","20.5"
"2002/6/2 12:30","16.5"
"2002/6/2 12:40","20.5"
"2002/6/2 12:50","16.5"
"2002/6/2 13:00","16.5"
"2002/6/2 13:10","16.5"
"2002/6/2 13:20","16.5"
"2002/6/2 13:30","16.5"
"2002/6/2 13:40","20.5"
"2002/6/2 13:50","16.5"
"2002/6/2 14:00","16.5"
"2002/6/2 14:10","16.5"
"2002/6/2 14:20","16.5"
"2002/6/2 14:30","16.5"
"2002/6/2 14:40","16.5"
"2002/6/2 14:50","16.5"
"2002/6/2 15:00","16.5"
"2002/6/2 15:10","16.5"
"2002/6/2 15:20","16.5"
"2002/6/2 15:30","16.5"
"2002/6/2 15:40","16.5"
"2002/6/2 15:50","16.5"
"2002/6/2 16:00","16.5"
"2002/6/2 16:10","16.5"
"2002/6/2 16:20","16.5"
"2002/6/2 16:30","16.5"
"2002/6/2 16:40","16.5"
"2002/6/2 16:50","16.5"
"2002/6/2 17:00","16.5"
"2002/6/2 17:10","16.5"
"2002/6/2 17:20","20.5"
"2002/6/2 17:30","20.5"
"2002/6/2 17:40","20.5"
"2002/6/2 17:50","20.5"
"2002/6/2 18:00","20.5"
"2002/6/2 18:10","20.5"
"2002/6/2 18:20","20.5"
"2002/6/2 18:30","20.5"
"2002/6/2 18:40","20.5"
"2002/6/2 18:50","20.5"
"2002/6/2 19:00","20.5"
"2002/6/2 19:10","20.5"
"2002/6/2 19:20","20.5"
"2002/6/2 19:30","20.5"
"2002/6/2 19:40","20.5"
"2002/6/2 19:50","20.5"
"2002/6/2 20:00","20.5"
"2002/6/2 20:10","20.5"
"2002/6/2 20:20","20.5"
"2002/6/2 20:30","20.5"
"2002/6/2 20:40","20.5"
"2002/6/2 20:50","20.5"
"2002/6/2 21:00","20.5"
"2002/6/2 21:10","20.5"
"2002/6/2 21:20","20.5"
"2002/6/2 21:30","20.5"
"2002/6/2 21:40","20.5"
"2002/6/2 21:50","20.5"
"2002/6/2 22:00","20.5"
"2002/6/2 22:10","20.5"
"2002/6/2 22:20","20.5"
"2002/6/2 22:30","20.5"
"2002/6/2 22:40","20.5"
"2002/6/2 22:50","20.5"
"2002/6/2 23:00","20.5"
"2002/6/2 23:10","20.5"
"2002/6/2 23:20","20.5"
"2002/6/2 23:30","20.5"
"2002/6/2 23:40","20.5"
"2002/6/2 23:50","20.5"
"2002/6/3 0:00","20.5"
"2002/6/3 0:10","20.5"
"2002/6/3 0:20","20.5"
"2002/6/3 0:30","20.5"
"2002/6/3 0:40","20.5"
"2002/6/3 0:50","20.5"
"2002/6/3 1:00","20.5"
"2002/6/3 1:10","20.5"
"2002/6/3 1:20","20.5"
"2002/6/3 1:30","20.5"
"2002/6/3 1:40","20.5"
"2002/6/3 1:50","20.5"
"2002/6/3 2:00","20.5"
"2002/6/3 2:10","20.5"
"2002/6/3 2:20","20.5"
"2002/6/3 2:30","20.5"
"2002/6/3 2:40","20.5"
"2002/6/3 2:50","20.5"
"2002/6/3 3:00","20.5"
"2002/6/3 3:10","20.5"
"2002/6/3 3:20","20.5"
"2002/6/3 3:30","20.5"
"2002/6/3 3:40","20.5"
"2002/6/3 3:50","20.5"
"2002/6/3 4:00","20.5"
"2002/6/3 4:10","20.5"
"2002/6/3 4:20","20.5"
"2002/6/3 4:30","20.5"
"2002/6/3 4:40","20.5"
"2002/6/3 4:50","20.5"
"2002/6/3 5:00","20.5"
"2002/6/3 5:10","20.5"
"2002/6/3 5:20","20.5"
"2002/6/3 5:30","20.5"
"2002/6/3 5:40","20.5"
"2002/6/3 5:50","20.5"
"2002/6/3 6:00","20.5"
"2002/6/3 6:10","20.5"
"2002/6/3 6:20","20.5"
"2002/6/3 6:30","20.5"
"2002/6/3 6:40","20.5"
"2002/6/3 6:50","20.5"
"2002/6/3 7:00","20.5"
"2002/6/3 7:10","20.5"
"2002/6/3 7:20","20.5"
"2002/6/3 7:30","20.5"
"2002/6/3 7:40","20.5"
"2002/6/3 7:50","20.5"
"2002/6/3 8:00","20.5"
"2002/6/3 8:10","20.5"
"2002/6/3 8:20","20.5"
"2002/6/3 8:30","20.5"
"2002/6/3 8:40","20.5"
"2002/6/3 8:50","20.5"
"2002/6/3 9:00","20.5"
"2002/6/3 9:10","20.5"
"2002/6/3 9:20","20.5"
"2002/6/3 9:30","20.5"
"2002/6/3 9:40","20.5"
"2002/6/3 9:50","20.5"
"2002/6/3 10:00","20.5"
"2002/6/3 10:10","20.5"
"2002/6/3 10:20","20.5"
"2002/6/3 10:30","20.5"
"2002/6/3 10:40","20.5"
"2002/6/3 10:50","20.5"
"2002/6/3 11:00","20.5"
"2002/6/3 11:10","20.5"
"2002/6/3 11:20","20.5"
"2002/6/3 11:30","20.5"
"2002/6/3 11:40","20.5"
"2002/6/3 11:50","20.5"
"2002/6/3 12:00","20.5"
"2002/6/3 12:10","20.5"
"2002/6/3 12:20","20.5"
"2002/6/3 12:30","20.5"
"2002/6/3 12:40","20.5"
"2002/6/3 12:50","20.5"
"2002/6/3 13:00","20.5"
"2002/6/3 13:10","20.5"
"2002/6/3 13:20","20.5"
"2002/6/3 13:30","20.5"
"2002/6/3 13:40","20.5"
"2002/6/3 13:50","20.5"
"2002/6/3 14:00","20.5"
"2002/6/3 14:10","20.5"
"2002/6/3 14:20","20.5"
"2002/6/3 14:30","20.5"
"2002/6/3 14:40","20.5"
"2002/6/3 14:50","20.5"
"2002/6/3 15:00","20.5"
"2002/6/3 15:10","20.5"
"2002/6/3 15:20","20.5"
"2002/6/3 15:30","20.5"
"2002/6/3 15:40","20.5"
"2002/6/3 15:50","20.5"
"2002/6/3 16:00","20.5"
"2002/6/3 16:10","20.5"
"2002/6/3 16:20","20.5"
"2002/6/3 16:30","20.5"
"2002/6/3 16:40","20.5"
"2002/6/3 16:50","20.5"
"2002/6/3 17:00","20.5"
"2002/6/3 17:10","20.5"
"2002/6/3 17:20","20.5"
"2002/6/3 17:30","20.5"
"2002/6/3 17:40","20.5"
"2002/6/3 17:50","20.5"
"2002/6/3 18:00","20.5"
"2002/6/3 18:10","20.5"
"2002/6/3 18:20","20.5"
"2002/6/3 18:30","20.5"
"2002/6/3 18:40","20.5"
"2002/6/3 18:50","20.5"
"2002/6/3 19:00","20.5"
"2002/6/3 19:10","20.5"
"2002/6/3 19:20","20.5"
"2002/6/3 19:30","20.5"
"2002/6/3 19:40","20.5"
"2002/6/3 19:50","20.5"
"2002/6/3 20:00","20.5"
"2002/6/3 20:10","20.5"
"2002/6/3 20:20","20.5"
"2002/6/3 20:30","20.5"
"2002/6/3 20:40","20.5"
"2002/6/3 20:50","20.5"
"2002/6/3 21:00","20.5"
"2002/6/3 21:10","20.5"
"2002/6/3 21:20","20.5"
"2002/6/3 21:30","20.5"
"2002/6/3 21:40","20.5"
"2002/6/3 21:50","20.5"
"2002/6/3 22:00","20.5"
"2002/6/3 22:10","20.5"
"2002/6/3 22:20","20.5"
"2002/6/3 22:30","20.5"
"2002/6/3 22:40","20.5"
"2002/6/3 22:50","20.5"
"2002/6/3 23:00","20.5"
"2002/6/3 23:10","20.5"
"2002/6/3 23:20","20.5"
"2002/6/3 23:30","20.5"
"2002/6/3 23:40","20.5"
"2002/6/3 23:50","20.5"
"2002/6/4 0:00","20.5"
"2002/6/4 0:10","20.5"
"2002/6/4 0:20","20.5"
"2002/6/4 0:30","20.5"
"2002/6/4 0:40","20.5"
"2002/6/4 0:50","20.5"
"2002/6/4 1:00","20.5"
"2002/6/4 1:10","20.5"
"2002/6/4 1:20","20.5"
"2002/6/4 1:30","20.5"
"2002/6/4 1:40","20.5"
"2002/6/4 1:50","20.5"
"2002/6/4 2:00","20.5"
"2002/6/4 2:10","20.5"
"2002/6/4 2:20","20.5"
"2002/6/4 2:30","20.5"
"2002/6/4 2:40","20.5"
"2002/6/4 2:50","20.5"
"2002/6/4 3:00","20.5"
"2002/6/4 3:10","20.5"
"2002/6/4 3:20","20.5"
"2002/6/4 3:30","20.5"
"2002/6/4 3:40","20.5"
"2002/6/4 3:50","20.5"
"2002/6/4 4:00","20.5"
"2002/6/4 4:10","20.5"
"2002/6/4 4:20","20.5"
"2002/6/4 4:30","20.5"
"2002/6/4 4:40","20.5"
"2002/6/4 4:50","20.5"
"2002/6/4 5:00","20.5"
"2002/6/4 5:10","20.5"
"2002/6/4 5:20","20.5"
"2002/6/4 5:30","20.5"
"2002/6/4 5:40","20.5"
"2002/6/4 5:50","20.5"
"2002/6/4 6:00","20.5"
"2002/6/4 6:10","20.5"
"2002/6/4 6:20","20.5"
"2002/6/4 6:30","20.5"
"2002/6/4 6:40","20.5"
"2002/6/4 6:50","20.5"
"2002/6/4 7:00","20.5"
"2002/6/4 7:10","20.5"
"2002/6/4 7:20","20.5"
"2002/6/4 7:30","20.5"
"2002/6/4 7:40","20.5"
"2002/6/4 7:50","20.5"
"2002/6/4 8:00","20.5"
"2002/6/4 8:10","20.5"
"2002/6/4 8:20","20.5"
"2002/6/4 8:30","20.5"
"2002/6/4 8:40","20.5"
"2002/6/4 8:50","20.5"
"2002/6/4 9:00","20.5"
"2002/6/4 9:10","20.5"
"2002/6/4 9:20","20.5"
"2002/6/4 9:30","20.5"
"2002/6/4 9:40","20.5"
"2002/6/4 9:50","20.5"
"2002/6/4 10:00","20.5"
"2002/6/4 10:10","20.5"
"2002/6/4 10:20","20.5"
"2002/6/4 10:30","20.5"
"2002/6/4 10:40","20.5"
"2002/6/4 10:50","20.5"
"2002/6/4 11:00","20.5"
"2002/6/4 11:10","20.5"
"2002/6/4 11:20","20.5"
"2002/6/4 11:30","20.5"
"2002/6/4 11:40","20.5"
"2002/6/4 11:50","20.5"
"2002/6/4 12:00","20.5"
"2002/6/4 12:10","20.5"
"2002/6/4 12:20","20.5"
"2002/6/4 12:30","20.5"
"2002/6/4 12:40","20.5"
"2002/6/4 12:50","20.5"
"2002/6/4 13:00","20.5"
"2002/6/4 13:10","20.5"
"2002/6/4 13:20","20.5"
"2002/6/4 13:30","20.5"
"2002/6/4 13:40","20.5"
"2002/6/4 13:50","20.5"
"2002/6/4 14:00","20.5"
"2002/6/4 14:10","20.5"
"2002/6/4 14:20","20.5"
"2002/6/4 14:30","20.5"
"2002/6/4 14:40","20.5"
"2002/6/4 14:50","20.5"
"2002/6/4 15:00","20.5"
"2002/6/4 15:10","20.5"
"2002/6/4 15:20","20.5"
"2002/6/4 15:30","20.5"
"2002/6/4 15:40","20.5"
"2002/6/4 15:50","20.5"
"2002/6/4 16:00","20.5"
"2002/6/4 16:10","20.5"
"2002/6/4 16:20","20.5"
"2002/6/4 16:30","20.5"
"2002/6/4 16:40","20.5"
"2002/6/4 16:50","20.5"
"2002/6/4 17:00","20.5"
"2002/6/4 17:10","20.5"
"2002/6/4 17:20","20.5"
"2002/6/4 17:30","20.5"
"2002/6/4 17:40","20.5"
"2002/6/4 17:50","20.5"
"2002/6/4 18:00","20.5"
"2002/6/4 18:10","20.5"
"2002/6/4 18:20","20.5"
"2002/6/4 18:30","20.5"
"2002/6/4 18:40","20.5"
"2002/6/4 18:50","20.5"
"2002/6/4 19:00","20.5"
"2002/6/4 19:10","20.5"
"2002/6/4 19:20","20.5"
"2002/6/4 19:30","20.5"
"2002/6/4 19:40","20.5"
"2002/6/4 19:50","20.5"
"2002/6/4 20:00","20.5"
"2002/6/4 20:10","20.5"
"2002/6/4 20:20","20.5"
"2002/6/4 20:30","20.5"
"2002/6/4 20:40","20.5"
"2002/6/4 20:50","20.5"
"2002/6/4 21:00","20.5"
"2002/6/4 21:10","20.5"
"2002/6/4 21:20","20.5"
"2002/6/4 21:30","20.5"
"2002/6/4 21:40","20.5"
"2002/6/4 21:50","20.5"
"2002/6/4 22:00","20.5"
"2002/6/4 22:10","20.5"
"2002/6/4 22:20","20.5"
"2002/6/4 22:30","20.5"
"2002/6/4 22:40","20.5"
"2002/6/4 22:50","20.5"
"2002/6/4 23:00","20.5"
"2002/6/4 23:10","20.5"
"2002/6/4 23:20","20.5"
"2002/6/4 23:30","20.5"
"2002/6/4 23:40","20.5"
"2002/6/4 23:50","20.5"
"2002/6/5 0:00","20.5"
"2002/6/5 0:10","20.5"
"2002/6/5 0:20","20.5"
"2002/6/5 0:30","20.5"
"2002/6/5 0:40","20.5"
"2002/6/5 0:50","20.5"
"2002/6/5 1:00","20.5"
"2002/6/5 1:10","20.5"
"2002/6/5 1:20","20.5"
"2002/6/5 1:30","20.5"
"2002/6/5 1:40","20.5"
"2002/6/5 1:50","20.5"
"2002/6/5 2:00","20.5"
"2002/6/5 2:10","20.5"
"2002/6/5 2:20","20.5"
"2002/6/5 2:30","20.5"
"2002/6/5 2:40","20.5"
"2002/6/5 2:50","20.5"
"2002/6/5 3:00","20.5"
"2002/6/5 3:10","20.5"
"2002/6/5 3:20","20.5"
"2002/6/5 3:30","20.5"
"2002/6/5 3:40","20.5"
"2002/6/5 3:50","20.5"
"2002/6/5 4:00","20.5"
"2002/6/5 4:10","20.5"
"2002/6/5 4:20","20.5"
"2002/6/5 4:30","20.5"
"2002/6/5 4:40","20.5"
"2002/6/5 4:50","20.5"
"2002/6/5 5:00","20.5"
"2002/6/5 5:10","20.5"
"2002/6/5 5:20","20.5"
"2002/6/5 5:30","20.5"
"2002/6/5 5:40","20.5"
"2002/6/5 5:50","20.5"
"2002/6/5 6:00","20.5"
"2002/6/5 6:10","20.5"
"2002/6/5 6:20","20.5"
"2002/6/5 6:30","20.5"
"2002/6/5 6:40","20.5"
"2002/6/5 6:50","20.5"
"2002/6/5 7:00","20.5"
"2002/6/5 7:10","20.5"
"2002/6/5 7:20","20.5"
"2002/6/5 7:30","20.5"
"2002/6/5 7:40","20.5"
"2002/6/5 7:50","20.5"
"2002/6/5 8:00","20.5"
"2002/6/5 8:10","20.5"
"2002/6/5 8:20","20.5"
"2002/6/5 8:30","20.5"
"2002/6/5 8:40","20.5"
"2002/6/5 8:50","20.5"
"2002/6/5 9:00","20.5"
"2002/6/5 9:10","20.5"
"2002/6/5 9:20","20.5"
"2002/6/5 9:30","20.5"
"2002/6/5 9:40","20.5"
"2002/6/5 9:50","20.5"
"2002/6/5 10:00","20.5"
"2002/6/5 10:10","20.5"
"2002/6/5 10:20","20.5"
"2002/6/5 10:30","20.5"
"2002/6/5 10:40","20.5"
"2002/6/5 10:50","20.5"
"2002/6/5 11:00","20.5"
"2002/6/5 11:10","20.5"
"2002/6/5 11:20","20.5"
"2002/6/5 11:30","20.5"
"2002/6/5 11:40","20.5"
"2002/6/5 11:50","20.5"
"2002/6/5 12:00","20.5"
"2002/6/5 12:10","20.5"
"2002/6/5 12:20","20.5"
"2002/6/5 12:30","20.5"
"2002/6/5 12:40","20.5"
"2002/6/5 12:50","20.5"
